h e0 var0 e1 var1 
0.689 -70.8542 2.48274e-08 -70.2219 0.00176116 
0.69 -70.8779 2.5515e-08 -70.2482 0.00232374 
0.691 -70.9016 2.61834e-08 -70.2752 0.00113687 
0.692 -70.9254 2.68019e-08 -70.2989 0.00169496 
0.693 -70.9492 2.75149e-08 -70.3265 0.0011471 
0.694 -70.9731 2.82007e-08 -70.3521 0.00164555 
0.695 -70.997 2.89447e-08 -70.3782 0.00102794 
0.696 -71.0209 2.9705e-08 -70.4031 0.0016249 
0.697 -71.0449 3.04462e-08 -70.4292 0.00290554 
0.698 -71.0689 3.12275e-08 -70.4554 0.0013311 
0.699 -71.0929 3.20751e-08 -70.4813 0.00183937 
0.7 -71.117 3.28682e-08 -70.5079 0.00149728 
0.701 -71.1412 3.37068e-08 -70.534 0.0010423 
0.702 -71.1654 3.46254e-08 -70.5595 0.00137839 
0.703 -71.1896 3.55003e-08 -70.5856 0.00137858 
0.704 -71.2138 3.64889e-08 -70.6122 0.00103427 
0.705 -71.2381 3.73893e-08 -70.6391 0.00122606 
0.706 -71.2625 3.84171e-08 -70.6655 0.00152111 
0.707 -71.2869 3.93629e-08 -70.6912 0.00149933 
0.708 -71.3113 4.04034e-08 -70.7169 0.00192331 
0.709 -71.3357 4.14593e-08 -70.7444 0.00127399 
0.71 -71.3603 4.26189e-08 -70.7701 0.00159568 
0.711 -71.3848 4.37594e-08 -70.7976 0.00183084 
0.712 -71.4094 4.49054e-08 -70.8244 0.00118985 
0.713 -71.434 4.50118e-08 -70.8508 0.00167144 
0.714 -71.4587 4.6256e-08 -70.8775 0.00194302 
0.715 -71.4834 4.74893e-08 -70.9041 0.00155761 
0.716 -71.5082 4.87462e-08 -70.931 0.00109563 
0.717 -71.533 5.01032e-08 -70.9578 0.00124925 
0.718 -71.5578 5.14565e-08 -70.9842 0.00092253 
0.719 -71.5827 5.28125e-08 -71.013 0.000762433 
0.72 -71.6076 5.42723e-08 -71.0372 0.00311693 
0.721 -71.6326 5.5792e-08 -71.065 0.00318548 
0.722 -71.6576 5.73082e-08 -71.0907 0.00162988 
0.723 -71.6826 5.88543e-08 -71.1192 0.00212238 
0.724 -71.7077 6.04614e-08 -71.1461 0.00192589 
0.725 -71.7328 6.21503e-08 -71.1725 0.00234811 
0.726 -71.758 6.37838e-08 -71.2002 0.000952366 
0.727 -71.7832 6.557e-08 -71.2288 0.001323 
0.728 -71.8084 6.73581e-08 -71.2551 0.000969977 
0.729 -71.8337 6.92144e-08 -71.2821 0.00150004 
0.73 -71.8591 7.11316e-08 -71.3101 0.000649701 
0.731 -71.8845 7.31061e-08 -71.3374 0.00167033 
0.732 -71.9099 7.50952e-08 -71.3647 0.00197442 
0.733 -71.9353 7.71906e-08 -71.3913 0.00247604 
0.734 -71.9609 7.93343e-08 -71.4188 0.00135386 
0.735 -71.9864 8.15044e-08 -71.4467 0.00215103 
0.736 -72.012 8.37817e-08 -71.4743 0.00179249 
0.737 -72.0376 8.60991e-08 -71.5025 0.00130667 
0.738 -72.0633 8.8522e-08 -71.5295 0.0010843 
0.739 -72.089 9.09604e-08 -71.5571 0.00121232 
0.74 -72.1148 9.35152e-08 -71.5862 0.00152424 
0.741 -72.1406 9.61218e-08 -71.613 0.00117026 
0.742 -72.1664 9.88075e-08 -71.6406 0.00105619 
0.743 -72.1923 1.01582e-07 -71.6689 0.000928834 
0.744 -72.2182 1.04437e-07 -71.6955 0.00224865 
0.745 -72.2442 1.07325e-07 -71.7244 0.00104066 
0.746 -72.2702 1.10374e-07 -71.7519 0.00142474 
0.747 -72.2963 1.13469e-07 -71.7797 0.00121506 
0.748 -72.3224 1.16707e-07 -71.8088 0.000733582 
0.749 -72.3485 1.19921e-07 -71.8365 0.00153476 
0.75 -72.3747 1.23322e-07 -71.8646 0.00251113 
0.751 -72.4009 1.26801e-07 -71.8927 0.00155999 
0.752 -72.4272 1.30392e-07 -71.9223 0.00109618 
0.753 -72.4535 1.34079e-07 -71.95 0.00128684 
0.754 -72.4799 1.37888e-07 -71.9772 0.00185649 
0.755 -72.5063 1.41779e-07 -72.0068 0.00175091 
0.756 -72.5327 1.45839e-07 -72.0348 0.00191184 
0.757 -72.5592 1.49952e-07 -72.0626 0.0020578 
0.758 -72.5857 1.54255e-07 -72.091 0.00281834 
0.759 -72.6123 1.58645e-07 -72.1199 0.00124654 
0.76 -72.6389 1.63193e-07 -72.1491 0.00117258 
0.761 -72.6656 1.67821e-07 -72.1778 0.00119264 
0.762 -72.6923 1.72612e-07 -72.2057 0.00146399 
0.763 -72.719 1.77565e-07 -72.2354 0.00126676 
0.764 -72.7458 1.82634e-07 -72.2635 0.00307218 
0.765 -72.7727 1.87831e-07 -72.2917 0.00153288 
0.766 -72.7995 1.93245e-07 -72.3198 0.00169551 
0.767 -72.8265 1.88998e-07 -72.3491 0.00314778 
0.768 -72.8534 1.94633e-07 -72.378 0.00226982 
0.769 -72.8804 1.60604e-07 -72.4081 0.00247653 
0.77 -72.9075 1.59636e-07 -72.4376 0.0018751 
0.771 -72.9346 1.60074e-07 -72.4668 0.00119437 
0.772 -72.9617 1.63433e-07 -72.4956 0.00113157 
0.773 -72.9889 1.6453e-07 -72.5244 0.00290732 
0.774 -73.0162 1.68791e-07 -72.5534 0.00275331 
0.775 -73.0434 1.73722e-07 -72.5828 0.00138694 
0.776 -73.0707 1.79048e-07 -72.6116 0.00260995 
0.777 -73.0981 1.81063e-07 -72.6408 0.00307907 
0.778 -73.1255 1.86439e-07 -72.6711 0.00256611 
0.779 -73.153 1.92239e-07 -72.7007 0.00164501 
0.78 -73.1805 1.94847e-07 -72.7297 0.0024037 
0.781 -73.208 1.67989e-07 -72.7596 0.00174491 
0.782 -73.2356 1.12069e-07 -72.7886 0.00100367 
0.783 -73.2632 9.225e-08 -72.8186 0.00137736 
0.784 -73.2909 9.15643e-08 -72.8483 0.00167466 
0.785 -73.3186 9.39817e-08 -72.8784 0.00218233 
0.786 -73.3464 9.32605e-08 -72.9079 0.00260517 
0.787 -73.3742 9.06275e-08 -72.9381 0.00121547 
0.788 -73.402 9.31304e-08 -72.9674 0.00106748 
0.789 -73.4299 9.21937e-08 -72.9974 0.0025784 
0.79 -73.4579 9.46784e-08 -73.0275 0.00190481 
0.791 -73.4859 9.20063e-08 -73.056 0.00191309 
0.792 -73.5139 9.10395e-08 -73.0873 0.000997935 
0.793 -73.542 9.35215e-08 -73.1163 0.0033352 
0.794 -73.5701 9.5979e-08 -73.1471 0.00287669 
0.795 -73.5983 9.85265e-08 -73.177 0.00279561 
0.796 -73.6265 9.93814e-08 -73.208 0.0020603 
0.797 -73.6548 1.02059e-07 -73.2377 0.00236148 
0.798 -73.6831 9.40699e-08 -73.2675 0.00124778 
0.799 -73.7114 9.98589e-08 -73.296 0.00456631 
0.8 -73.7398 1.02618e-07 -73.3279 0.00671109 
0.801 -73.7683 1.05468e-07 -73.3599 0.000554498 
0.802 -73.7967 1.08346e-07 -73.3897 0.00123522 
0.803 -73.8253 1.11326e-07 -73.4193 0.00267111 
0.804 -73.8539 1.05878e-07 -73.4506 0.00245664 
0.805 -73.8825 1.03442e-07 -73.4809 0.00172964 
0.806 -73.9112 1.01918e-07 -73.5115 0.0013506 
0.807 -73.9399 1.03436e-07 -73.5429 0.00240376 
0.808 -73.9686 1.05232e-07 -73.5733 0.00133353 
0.809 -73.9975 1.02104e-07 -73.6042 0.00130425 
0.81 -74.0263 1.04345e-07 -73.6346 0.00194917 
0.811 -74.0552 1.06395e-07 -73.6657 0.00187249 
0.812 -74.0842 1.08767e-07 -73.6969 0.000872809 
0.813 -74.1132 1.11719e-07 -73.7258 0.00315807 
0.814 -74.1422 1.14573e-07 -73.7583 0.00224886 
0.815 -74.1713 6.27933e-08 -73.7901 0.000766438 
0.816 -74.2004 6.37374e-08 -73.8215 0.000499012 
0.817 -74.2296 6.13554e-08 -73.851 0.00158644 
0.818 -74.2589 5.90471e-08 -73.883 0.00116548 
0.819 -74.2881 5.57357e-08 -73.9142 0.00114597 
0.82 -74.3175 5.52918e-08 -73.9452 0.00301709 
0.821 -74.3468 5.40413e-08 -73.9761 0.00194919 
0.822 -74.3763 5.3381e-08 -74.0082 0.00134413 
0.823 -74.4057 5.45888e-08 -74.039 0.00232551 
0.824 -74.4352 5.58948e-08 -74.0709 0.00151641 
0.825 -74.4648 4.55475e-08 -74.1028 0.00124189 
0.826 -74.4944 4.96002e-08 -74.1334 0.00265577 
0.827 -74.5241 4.7572e-08 -74.1646 0.00214239 
0.828 -74.5538 4.6839e-08 -74.1975 0.00117566 
0.829 -74.5835 4.79495e-08 -74.2289 0.00163474 
0.83 -74.6133 4.90882e-08 -74.2598 0.0021675 
0.831 -74.6432 4.46089e-08 -74.2924 0.00193244 
0.832 -74.6731 4.54293e-08 -74.3242 0.000816367 
0.833 -74.703 4.45143e-08 -74.3546 0.00339845 
0.834 -74.733 4.57285e-08 -74.3879 0.00177692 
0.835 -74.7631 4.68472e-08 -74.4199 0.00206454 
0.836 -74.7932 4.62205e-08 -74.4517 0.00192078 
0.837 -74.8233 4.66789e-08 -74.4838 0.00148158 
0.838 -74.8535 4.7914e-08 -74.5154 0.00164788 
0.839 -74.8837 4.47344e-08 -74.5481 0.00113978 
0.84 -74.914 4.59777e-08 -74.5805 0.00159506 
0.841 -74.9443 4.72655e-08 -74.6126 0.00121615 
0.842 -74.9747 4.78494e-08 -74.6447 0.00247096 
0.843 -75.0052 4.91927e-08 -74.6764 0.0029012 
0.844 -75.0356 5.05361e-08 -74.7091 0.0024109 
0.845 -75.0662 4.77767e-08 -74.7426 0.000874923 
0.846 -75.0968 4.90909e-08 -74.7751 0.000731236 
0.847 -75.1274 5.05415e-08 -74.8064 0.00195187 
0.848 -75.1581 5.19549e-08 -74.8398 0.00268665 
0.849 -75.1888 4.82823e-08 -74.873 0.000924852 
0.85 -75.2196 5.49053e-08 -74.9056 0.000947763 
0.851 -75.2504 5.58357e-08 -74.9376 0.00380672 
0.852 -75.2813 5.19276e-08 -74.9709 0.00206136 
0.853 -75.3122 5.3431e-08 -75.0036 0.00119497 
0.854 -75.3432 5.50672e-08 -75.0364 0.00309476 
0.855 -75.3742 5.66706e-08 -75.0695 0.00219173 
0.856 -75.4053 5.8375e-08 -75.1013 0.00411106 
0.857 -75.4364 6.01176e-08 -75.1355 0.0011423 
0.858 -75.4676 6.19075e-08 -75.1683 0.00185629 
0.859 -75.4988 5.90799e-08 -75.2019 0.000902626 
0.86 -75.5301 6.09252e-08 -75.2345 0.00106522 
0.861 -75.5614 6.28124e-08 -75.2678 0.00136149 
0.862 -75.5928 6.47724e-08 -75.3016 0.00111115 
0.863 -75.6242 6.89934e-08 -75.3346 0.0014861 
0.864 -75.6557 6.8947e-08 -75.3681 0.00124534 
0.865 -75.6872 7.11343e-08 -75.4009 0.0029765 
0.866 -75.7188 7.34017e-08 -75.4349 0.00229685 
0.867 -75.7505 7.57327e-08 -75.4684 0.0014997 
0.868 -75.7822 7.8212e-08 -75.5018 0.00289978 
0.869 -75.8139 7.67141e-08 -75.5355 0.00162818 
0.87 -75.8457 8.08941e-08 -75.5694 0.00117652 
0.871 -75.8775 8.00037e-08 -75.6027 0.00226423 
0.872 -75.9094 8.63429e-08 -75.6363 0.00223102 
0.873 -75.9414 8.27067e-08 -75.671 0.00105461 
0.874 -75.9734 8.84629e-08 -75.7049 0.000471569 
0.875 -76.0054 9.15115e-08 -75.7386 0.000735046 
0.876 -76.0375 8.98135e-08 -75.7722 0.00185351 
0.877 -76.0697 9.30468e-08 -75.8062 0.000983114 
0.878 -76.1019 9.64119e-08 -75.8406 0.00130097 
0.879 -76.1342 9.98707e-08 -75.8749 0.00120472 
0.88 -76.1665 1.01488e-07 -75.9086 0.00198348 
0.881 -76.1988 1.07242e-07 -75.9427 0.000798132 
0.882 -76.2313 1.08973e-07 -75.9771 0.00140594 
0.883 -76.2637 1.12948e-07 -76.0118 0.000617036 
0.884 -76.2963 1.14987e-07 -76.0462 0.000667988 
0.885 -76.3288 1.21615e-07 -76.0798 0.0011936 
0.886 -76.3615 1.2382e-07 -76.1151 0.0005582 
0.887 -76.3942 1.28484e-07 -76.149 0.00217393 
0.888 -76.4269 1.33286e-07 -76.1832 0.00224356 
0.889 -76.4597 1.38375e-07 -76.218 0.00196184 
0.89 -76.4925 1.43501e-07 -76.2531 0.00152368 
0.891 -76.5255 1.48972e-07 -76.2872 0.00292386 
0.892 -76.5584 1.4928e-07 -76.3224 0.00245254 
0.893 -76.5914 1.50838e-07 -76.3575 0.00102712 
0.894 -76.6245 1.53241e-07 -76.3912 0.00194462 
0.895 -76.6576 1.56808e-07 -76.4266 0.00199796 
0.896 -76.6908 1.6072e-07 -76.4622 0.00289025 
0.897 -76.724 1.62686e-07 -76.4971 0.0018366 
0.898 -76.7573 1.69466e-07 -76.5326 0.000790307 
0.899 -76.7907 1.60301e-07 -76.5678 0.00067283 
0.9 -76.8241 1.58231e-07 -76.6027 0.0016071 
0.901 -76.8575 1.49645e-07 -76.6381 0.0010746 
0.902 -76.891 1.50315e-07 -76.6732 0.00144554 
0.903 -76.9246 1.50851e-07 -76.7088 0.00102389 
0.904 -76.9582 1.52805e-07 -76.7442 0.00119835 
0.905 -76.9919 1.56281e-07 -76.7799 0.00074831 
0.906 -77.0256 1.58775e-07 -76.8151 0.00107902 
0.907 -77.0594 1.59102e-07 -76.8511 0.000269425 
0.908 -77.0933 1.64835e-07 -76.8865 0.00073812 
0.909 -77.1272 1.66165e-07 -76.9215 0.00250184 
0.91 -77.1611 1.68846e-07 -76.9581 0.000318549 
0.911 -77.1952 1.66207e-07 -76.9937 0.00046512 
0.912 -77.2293 1.63587e-07 -77.0298 3.43933e-05 
0.913 -77.2634 1.64919e-07 -77.0654 0.000582833 
0.914 -77.2976 1.67252e-07 -77.1016 0.000191966 
0.915 -77.3318 1.66615e-07 -77.1375 0.000190726 
0.916 -77.3662 1.6683e-07 -77.1556 0.0110061 
0.917 -77.4005 1.70709e-07 -77.1507 0.000807212 
0.918 -77.435 1.73976e-07 -77.2113 0.0107972 
0.919 -77.4694 1.78168e-07 -77.2678 0.00585142 
0.92 -77.504 1.78507e-07 -77.3021 0.0145724 
0.921 -77.5386 1.78518e-07 -77.3512 0.00449227 
0.922 -77.5733 1.45003e-07 -77.3711 0.0166093 
0.923 -77.608 1.4772e-07 -77.414 0.00533621 
0.924 -77.6428 1.42054e-07 -77.4525 0.00632627 
